zip_code,city,county
6382,Uncasville,New London County
6383,Versailles,New London County
6384,Jewett City,New London County
6384,Voluntown,New London County
6385,Waterford,New London County
6387,Wauregan,Windham County
6388,West Mystic,New London County
6388,Mystic,New London County
6389,Yantic,New London County
6390,Fishers,Suffolk County
6401,Ansonia,New Haven County
6403,Beacon Falls,New Haven County
6404,Botsford,Fairfield County
6405,Branford,New Haven County
6409,Centerbrook,Middlesex County
6410,Cheshire,New Haven County
6412,Chester,Middlesex County
6413,Clinton,Middlesex County
6414,Cobalt,Middlesex County
6415,Colchester,New London County
6416,Cromwell,Middlesex County
6417,Deep River,Middlesex County
6418,Derby,New Haven County
6419,Deep River,Middlesex County
6419,Killingworth,Middlesex County
6420,Colchester,New London County
6420,Salem,New London County
6422,Durham,Middlesex County
6423,East Haddam,Middlesex County
6424,Haddam Neck,Middlesex County
6424,East Hampton,Middlesex County
6426,Essex,Middlesex County
6430,Fairfield,Fairfield County
6431,Fairfield,Fairfield County
6432,Fairfield,Fairfield County
6436,Greens Farms,Fairfield County
6437,Guilford,New Haven County
6438,Haddam,Middlesex County
6439,Hadlyme,New London County
6440,Hawleyville,Fairfield County
6441,Higganum,Middlesex County
6442,Ivoryton,Middlesex County
6443,Madison,New Haven County
6444,Marion,Hartford County
6447,East Hampton,Hartford County
6447,Marlborough,Hartford County
6450,Meriden,New Haven County
6451,Meriden,New Haven County
6455,Middlefield,Middlesex County
6456,Middle Haddam,Middlesex County
6457,Middletown,Middlesex County
6460,Milford,New Haven County
6467,Milldale,Hartford County
6468,Monroe,Fairfield County
6469,Moodus,Middlesex County
6470,Newtown,Fairfield County
6471,North Branford,New Haven County
6472,Northford,New Haven County
6473,North Haven,New Haven County
6474,North Westchester,New London County
6475,Old Saybrook,Middlesex County
6477,Orange,New Haven County
6478,Oxford,New Haven County
6478,Seymour,New Haven County
6479,Plantsville,Hartford County
6480,Portland,Middlesex County
6481,Rockfall,Middlesex County
6482,Sandy Hook,Fairfield County
6483,Seymour,New Haven County
6484,Huntington,Fairfield County
6484,Shelton,Fairfield County
6487,South Britain,New Haven County
6488,Southbury,New Haven County
6489,Southington,Hartford County
6490,Southport,Fairfield County
6491,Stevenson,Fairfield County
6492,Yalesville,New Haven County
6492,Wallingford,New Haven County
6497,Stratford,Fairfield County
6498,Westbrook,Middlesex County
6501,New Haven,New Haven County
6502,New Haven,New Haven County
6503,New Haven,New Haven County
6504,New Haven,New Haven County
6505,New Haven,New Haven County
6506,New Haven,New Haven County
6507,New Haven,New Haven County
6508,New Haven,New Haven County
6509,New Haven,New Haven County
6510,New Haven,New Haven County
6511,New Haven,New Haven County
6512,East Haven,New Haven County
6512,New Haven,New Haven County
6513,East Haven,New Haven County
6513,New Haven,New Haven County
6514,Hamden,New Haven County
6514,New Haven,New Haven County
6515,New Haven,New Haven County
6516,West Haven,New Haven County
6517,Whitneyville,New Haven County
6517,Hamden,New Haven County
6517,New Haven,New Haven County
6518,Hamden,New Haven County
6518,New Haven,New Haven County
6519,New Haven,New Haven County
6520,New Haven,New Haven County
6521,New Haven,New Haven County
6524,Bethany,New Haven County
6524,New Haven,New Haven County
6525,New Haven,New Haven County
6525,Woodbridge,New Haven County
6530,New Haven,New Haven County
6531,New Haven,New Haven County
6532,New Haven,New Haven County
6533,New Haven,New Haven County
6534,New Haven,New Haven County
6535,New Haven,New Haven County
6536,New Haven,New Haven County
6601,Bridgeport,Fairfield County
6602,Bridgeport,Fairfield County
6604,Bridgeport,Fairfield County
6605,Bridgeport,Fairfield County
6606,Bridgeport,Fairfield County
6607,Bridgeport,Fairfield County
6608,Bridgeport,Fairfield County
6610,Bridgeport,Fairfield County
6611,Bridgeport,Fairfield County
6611,Trumbull,Fairfield County
6612,Bridgeport,Fairfield County
6612,Easton,Fairfield County
6614,Bridgeport,Fairfield County
6614,Stratford,Fairfield County
6615,Bridgeport,Fairfield County
6615,Stratford,Fairfield County
6650,Bridgeport,Fairfield County
6702,Waterbury,New Haven County
6703,Waterbury,New Haven County
6704,Waterbury,New Haven County
6705,Waterbury,New Haven County
6706,Waterbury,New Haven County
6708,Waterbury,New Haven County
6710,Waterbury,New Haven County
6712,Prospect,New Haven County
6712,Waterbury,New Haven County
6716,Waterbury,New Haven County
6716,Wolcott,New Haven County
6720,Waterbury,New Haven County
6721,Waterbury,New Haven County
6722,Waterbury,New Haven County
6723,Waterbury,New Haven County
6724,Waterbury,New Haven County
6725,Waterbury,New Haven County
6726,Waterbury,New Haven County
6750,Bantam,Litchfield County
6751,Bethlehem,Litchfield County
6752,Bridgewater,Litchfield County
6753,Cornwall,Litchfield County
6754,Cornwall Bridge,Litchfield County
6754,Warren,Litchfield County
6755,Gaylordsville,Litchfield County
6756,Goshen,Litchfield County
6757,Kent,Litchfield County
6758,Lakeside,Litchfield County
6759,Litchfield,Litchfield County
6762,Middlebury,New Haven County
6763,Morris,Litchfield County
6770,Naugatuck,New Haven County
6776,New Milford,Litchfield County
6777,New Preston Marble Dale,Litchfield County
6777,New Preston,Litchfield County
6777,Washington Depot,Litchfield County
6777,Warren,Litchfield County
6778,Northfield,Litchfield County
6778,Thomaston,Litchfield County
6779,Oakville,Litchfield County
6779,Watertown,Litchfield County
6781,Pequabuck,Litchfield County
6782,Plymouth,Litchfield County
6783,Roxbury,Litchfield County
6784,Sherman,Fairfield County
6785,South Kent,Litchfield County
6786,Terryville,Litchfield County
6787,Thomaston,Litchfield County
6790,Torrington,Litchfield County
6791,Harwinton,Litchfield County
6791,Torrington,Litchfield County
6793,Washington Depot,Litchfield County
6793,Washington,Litchfield County
6794,Washington Depot,Litchfield County
6795,Watertown,Litchfield County
6796,West Cornwall,Litchfield County
6798,Woodbury,Litchfield County
6801,Bethel,Fairfield County
6804,Brookfld Ctr,Fairfield County
6804,Brookfield,Fairfield County
6807,Cos Cob,Fairfield County
6810,Danbury,Fairfield County
6811,Danbury,Fairfield County
6812,Danbury,Fairfield County
6812,New Fairfield,Fairfield County
6813,Danbury,Fairfield County
6820,Darien,Fairfield County
6824,Fairfield,Fairfield County
6825,Fairfield,Fairfield County
6828,Fairfield,Fairfield County
6829,Georgetown,Fairfield County
6830,Greenwich,Fairfield County
6831,Greenwich,Fairfield County
6836,Greenwich,Fairfield County
6838,Greens Farms,Fairfield County
6840,New Canaan,Fairfield County
6850,Norwalk,Fairfield County
6851,Norwalk,Fairfield County
6852,Norwalk,Fairfield County
6853,Norwalk,Fairfield County
6854,Norwalk,Fairfield County
6855,Norwalk,Fairfield County
6856,Norwalk,Fairfield County
6870,Old Greenwich,Fairfield County
6875,Redding Center,Fairfield County
6876,Redding Ridge,Fairfield County
6877,Ridgefield,Fairfield County
6878,Riverside,Fairfield County
6880,Westport,Fairfield County
6881,Westport,Fairfield County
6883,Weston,Fairfield County
6890,Southport,Fairfield County
6896,West Redding,Fairfield County
6896,Redding,Fairfield County
6897,Wilton,Fairfield County
6901,Stamford,Fairfield County
6902,Stamford,Fairfield County
6903,Stamford,Fairfield County
6904,Stamford,Fairfield County
6905,Ridgeway,Fairfield County
6905,Stamford,Fairfield County
6906,Stamford,Fairfield County
6907,Stamford,Fairfield County
6910,Stamford,Fairfield County
6911,Stamford,Fairfield County
6912,Stamford,Fairfield County
